name,img,monday1,monday2,tuesday1,tuesday2,wednesday1,wednesday2,thursday1,thursday2,friday1,friday2
'Läk J','ALFKI.jpg',00:00,00:00,08:00,16:30,08:00,16:30,08:00,16:30,08:00,15:00
'Läk O','ALFKI.jpg',08:00,15:30,08:00,15:30,08:00,15:30,08:00,15:30,08:00,15:30
'Läk N','ALFKI.jpg',08:00,16:30,08:00,16:30,13:00,16:30,08:00,16:30,08:00,16:30
'Läk D','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,12:00,08:00,16:30,08:00,16:30
'Läk U','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30
'Läk M','ALFKI.jpg',08:00,14:00,08:00,14:00,08:00,14:00,08:00,14:00,08:00,14:00
'Läk C','ALFKI.jpg',08:00,15:00,08:00,15:00,08:00,16:30,08:00,15:00,08:00,15:00
'Läk B','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30
'Läk Q','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,00:00,00:00
'Läk R','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30
'Läk K','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30
'Läk P','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,00:00,00:00
'Läk V','ALFKI.jpg',08:00,14:30,08:00,14:30,08:00,14:30,08:00,16:30,08:00,14:30
'Läk A','ALFKI.jpg',08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00
'Läk I','ALFKI.jpg',13:00,16:30,00:00,00:00,00:00,00:00,08:00,16:30,08:00,16:30
'Läk E','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30
'Läk T','ALFKI.jpg',08:00,14:30,08:00,14:30,08:00,14:30,08:00,14:30,08:00,14:30
'Läk G','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30
'Läk X','ALFKI.jpg',08:00,16:30,08:00,16:30,00:00,00:00,08:00,16:30,08:00,16:30
'Läk S','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30
'Läk F','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30
'Läk H','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30
'Läk Y','ALFKI.jpg',08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30,08:00,16:30